kepoi_name,kepler_name,koi_disposition,koi_period,koi_period_err1,koi_period_err2,koi_impact,koi_impact_err1,koi_impact_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_ror,koi_ror_err1,koi_ror_err2,koi_srho,koi_srho_err1,koi_srho_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_sma,koi_sma_err1,koi_sma_err2,koi_teq,koi_teq_err1,koi_teq_err2,koi_insol,koi_insol_err1,koi_insol_err2,koi_dor,koi_dor_err1,koi_dor_err2,koi_model_snr,koi_count,koi_steff,koi_steff_err1,koi_steff_err2,koi_slogg,koi_slogg_err1,koi_slogg_err2,koi_smet,koi_smet_err1,koi_smet_err2,koi_srad,koi_srad_err1,koi_srad_err2,koi_smass,koi_smass_err1,koi_smass_err2
K03363.01,Kepler-1479 b,CONFIRMED,14.53261362,4.43E-05,-4.43E-05,0.0071,0.4157,-0.0071,2.4079,0.0746,-0.0746,3.46E+02,1.47E+01,-1.47E+01,0.017039,5.26E-04,-5.17E-04,9.23707,0.71279,-3.13509,1.73,6.90E-01,-1.50E-01,0.1173,,,746,,,73.37,83.5,-18.95,46.89,3.6,-3.6,27.5,1,6003,148,-173,4.507,0.039,-0.288,-0.14,0.22,-0.3,0.932,0.366,-0.081,1.019,0.124,-0.128
K03365.01,Kepler-1480 b,CONFIRMED,22.12679948,9.37E-05,-9.37E-05,0.2604,0.1878,-0.2603,3.686,0.117,-0.117,4.36E+02,1.75E+01,-1.75E+01,0.018807,7.39E-04,-5.48E-04,3.56233,0.67634,-0.96698,2.97,1.79E+00,-1.04E+00,0.1525,,,721,,,63.98,124.68,-39.78,45.18,8.6,-8.6,28.6,1,5312,184,-144,4.103,0.348,-0.311,0.34,0.12,-0.24,1.445,0.873,-0.506,0.963,0.153,-0.074
K03370.02,Kepler-1481 b,CONFIRMED,5.94220998,2.34E-05,-2.34E-05,0.0025,0.4457,-0.0022,2.2737,0.0977,-0.0977,2.73E+02,1.55E+01,-1.55E+01,0.014619,8.58E-04,-4.06E-04,4.459,0.41957,-1.71613,1.27,1.56E+00,-1.10E-01,0.0588,,,798,,,96.02,448.32,-24.14,20.27,1.9,-1.9,20.3,2,4922,168,-131,4.521,0.062,-0.748,0.08,0.26,-0.26,0.795,0.975,-0.069,0.765,0.118,-0.057
K03371.02,Kepler-1482 b,CONFIRMED,12.25383217,8.41E-05,-8.41E-05,0.4886,0.0368,-0.4435,2.213,0.179,-0.179,1.39E+02,1.32E+01,-1.32E+01,0.011045,3.07E-04,-9.47E-04,6.6159,4.43067,-1.84742,0.83,1.40E-01,-7.00E-02,0.0928,,,642,,,40.13,23,-9.28,37.4,12.5,-12.5,12.7,1,5356,167,-143,4.617,0.04,-0.096,-0.66,0.36,-0.3,0.685,0.123,-0.051,0.708,0.099,-0.05
K03374.01,Kepler-1483 b,CONFIRMED,9.5085156,1.05E-04,-1.05E-04,0.5652,0.0423,-0.4526,4.381,0.224,-0.224,1.04E+02,8.80E+00,-8.80E+00,0.009683,1.40E-04,-8.42E-04,0.56111,0.51779,-0.01692,1.07,4.70E-01,-1.00E-01,0.0899,,,937,,,182.21,237.02,-51.92,13.89,6.4,-6.4,12.6,2,6328,166,-212,4.456,0.049,-0.302,-0.28,0.22,-0.32,1.013,0.446,-0.096,1.069,0.202,-0.133
K03379.01,Kepler-1484 b,CONFIRMED,30.4549136,3.54E-04,-3.54E-04,0.3665,0.0852,-0.3664,6.143,0.236,-0.236,5.30E+02,3.46E+01,-3.46E+01,0.021449,7.21E-04,-1.01E-03,0.96096,0.33087,-0.24098,2.3,9.90E-01,-2.20E-01,0.1939,,,624,,,35.92,45.53,-10.67,36.1,12.4,-12.4,18.1,1,6283,174,-227,4.472,0.05,-0.302,-0.3,0.24,-0.32,0.984,0.419,-0.096,1.047,0.179,-0.136
K03384.02,Kepler-1485 b,CONFIRMED,19.9157725,1.28E-04,-1.28E-04,0.7337,0.1745,-0.5026,6.154,0.148,-0.148,1.47E+02,6.00E+00,-6.00E+00,0.011962,1.76E-03,-8.87E-04,0.24486,0.46133,-0.00456,1.42,2.60E-01,-1.00E-01,0.1476,,,726,,,65.52,31.78,-14.05,17.25,8.1,-8.1,27.5,2,6053,94,-130,4.396,0.056,-0.136,0.04,0.08,-0.16,1.09,0.198,-0.081,1.074,0.066,-0.066
K03393.01,Kepler-1486 b,CONFIRMED,54.6495759,9.83E-04,-9.83E-04,0.3662,0.0836,-0.3661,8.405,0.336,-0.336,4.38E+02,3.70E+01,-3.70E+01,0.019384,8.70E-04,-1.09E-03,0.66846,0.27482,-0.14697,2.26,1.16E+00,-2.40E-01,0.2898,,,517,,,16.9,26.19,-5.29,47.3,19.4,-19.4,13.8,1,6112,165,-233,4.418,0.062,-0.317,0.02,0.19,-0.3,1.066,0.548,-0.111,1.079,0.243,-0.128
K03398.01,Kepler-1487 b,CONFIRMED,7.31946363,4.68E-05,-4.68E-05,0.5566,0.0434,-0.4515,4.839,0.177,-0.177,1.57E+02,9.30E+00,-9.30E+00,0.011907,9.30E-05,-8.13E-04,0.33157,0.24669,-0.04216,1.24,4.60E-01,-1.00E-01,0.0747,,,1017,,,252.76,266.63,-65.44,9.79,3.6,-3.6,20.4,2,6444,157,-198,4.492,0.041,-0.271,-0.5,0.24,-0.3,0.956,0.35,-0.08,1.035,0.124,-0.117
K03403.01,Kepler-1488 b,CONFIRMED,39.8189932,2.91E-04,-2.91E-04,0.0066,0.4436,-0.0065,10.798,0.169,-0.169,1.96E+02,7.00E+00,-7.00E+00,0.012817,3.91E-04,-3.44E-04,0.2773,0.00124,-0.11939,1.59,6.60E-01,-2.40E-01,0.2278,,,594,,,29.47,35.71,-10.54,28.538,0.128,-0.128,29.7,2,6035,150,-176,4.325,0.129,-0.259,-0.14,0.26,-0.3,1.135,0.472,-0.17,0.992,0.182,-0.112
